movie_id,average_rating,Number_of_votes,title,original_title,start_year,runtime_minutes,studio,domestic_gross_x,foreign_gross,year,total_gross,production_budget,domestic_gross_y,worldwide_gross,ROI,genres
tt1625346,6.3,74071,Young Adult,Young Adult,2011,94.0,Par.,16300000.0,6600000,2011,22900000.0,12000000,16311571,22750356,10750356,Comedy
tt1625346,6.3,74071,Young Adult,Young Adult,2011,94.0,Par.,16300000.0,6600000,2011,22900000.0,12000000,16311571,22750356,10750356,Drama
tt0478304,6.8,156266,The Tree of Life,The Tree of Life,2011,139.0,FoxS,13300000.0,41000000,2011,54300000.0,35000000,13305665,61721826,26721826,Drama
tt0478304,6.8,156266,The Tree of Life,The Tree of Life,2011,139.0,FoxS,13300000.0,41000000,2011,54300000.0,35000000,13305665,61721826,26721826,Fantasy
tt1133985,5.5,252281,Green Lantern,Green Lantern,2011,114.0,WB,116600000.0,103300000,2011,219900000.0,200000000,116601172,219535492,19535492,Action
tt1133985,5.5,252281,Green Lantern,Green Lantern,2011,114.0,WB,116600000.0,103300000,2011,219900000.0,200000000,116601172,219535492,19535492,Adventure
tt1133985,5.5,252281,Green Lantern,Green Lantern,2011,114.0,WB,116600000.0,103300000,2011,219900000.0,200000000,116601172,219535492,19535492,Sci-Fi
tt1657507,6.4,87659,Colombiana,Colombiana,2011,108.0,TriS,36700000.0,24300000,2011,61000000.0,40000000,36665854,72295262,32295262,Action
tt1657507,6.4,87659,Colombiana,Colombiana,2011,108.0,TriS,36700000.0,24300000,2011,61000000.0,40000000,36665854,72295262,32295262,Drama
tt1657507,6.4,87659,Colombiana,Colombiana,2011,108.0,TriS,36700000.0,24300000,2011,61000000.0,40000000,36665854,72295262,32295262,Thriller
tt1632708,6.6,317338,Friends with Benefits,Friends with Benefits,2011,109.0,SGem,55800000.0,93700000,2011,149500000.0,35000000,55802754,146595891,111595891,Comedy
tt1632708,6.6,317338,Friends with Benefits,Friends with Benefits,2011,109.0,SGem,55800000.0,93700000,2011,149500000.0,35000000,55802754,146595891,111595891,Romance
tt0466893,6.5,14708,Margaret,Margaret,2011,150.0,FoxS,46500.0,0,2011,46500.0,14000000,47185,623292,-13376708,Drama
tt0881320,5.9,51318,Sanctum,Sanctum,2011,108.0,Uni.,23200000.0,85400000,2011,108600000.0,30000000,23209310,108957098,78957098,Adventure
tt0881320,5.9,51318,Sanctum,Sanctum,2011,108.0,Uni.,23200000.0,85400000,2011,108600000.0,30000000,23209310,108957098,78957098,Drama
tt0881320,5.9,51318,Sanctum,Sanctum,2011,108.0,Uni.,23200000.0,85400000,2011,108600000.0,30000000,23209310,108957098,78957098,Thriller
tt0978764,6.1,218371,Sucker Punch,Sucker Punch,2011,110.0,WB,36400000.0,53400000,2011,89800000.0,75000000,36392502,89758389,14758389,Action
tt0978764,6.1,218371,Sucker Punch,Sucker Punch,2011,110.0,WB,36400000.0,53400000,2011,89800000.0,75000000,36392502,89758389,14758389,Adventure
tt0978764,6.1,218371,Sucker Punch,Sucker Punch,2011,110.0,WB,36400000.0,53400000,2011,89800000.0,75000000,36392502,89758389,14758389,Fantasy
tt1876409,8.0,8,Oblivion,Oblivion,2011,116.0,Uni.,89100000.0,197100000,2013,286200000.0,120000000,89107235,287916633,167916633,Thriller
tt1483013,7.0,453966,Oblivion,Oblivion,2013,124.0,Uni.,89100000.0,197100000,2013,286200000.0,120000000,89107235,287916633,167916633,Action
tt1483013,7.0,453966,Oblivion,Oblivion,2013,124.0,Uni.,89100000.0,197100000,2013,286200000.0,120000000,89107235,287916633,167916633,Adventure
tt1483013,7.0,453966,Oblivion,Oblivion,2013,124.0,Uni.,89100000.0,197100000,2013,286200000.0,120000000,89107235,287916633,167916633,Sci-Fi
